Kronos-Improve time tracking and schedule management function efficiency,"Time keeping & schedule management FTE time spent on time collection, tracking and scheduling (in %)","Kronos-Improve time tracking and schedule management function efficiency. Time keeping & schedule management FTE time spent on time collection, tracking and scheduling (in %)"
Kronos/WFS-Reduce HR/payroll FTE time on tracking and management of leaves and time accruals,Time spent by HR/payroll staff on leave and accruals management (in hours per day),Kronos/WFS-Reduce HR/payroll FTE time on tracking and management of leaves and time accruals. Time spent by HR/payroll staff on leave and accruals management (in hours per day)
Kronos-Reduce HR/payroll FTE time on employee information change requests,Time spent by HR/payroll staff on updating employee information change requests (in hours per day),Kronos-Reduce HR/payroll FTE time on employee information change requests. Time spent by HR/payroll staff on updating employee information change requests (in hours per day)
Kronos/WFS-Reduce manager time on time keeping & scheduling activities,"Manager/supervisor time spent on approving leave requests, time keeping & scheduling (in %)","Kronos/WFS-Reduce manager time on time keeping & scheduling activities. Manager/supervisor time spent on approving leave requests, time keeping & scheduling (in %)"
Kronos-Reduce labor fine avoidance,Average settlement per plaintiff,Kronos-Reduce labor fine avoidance. Average settlement per plaintiff
WFS-Reduce paid time-off errors,Extra unearned days off per employee per year,WFS-Reduce paid time-off errors. Extra unearned days off per employee per year
Kronos/WFS-Improve payroll accuracy,Payroll errors (in %),Kronos/WFS-Improve payroll accuracy. Payroll errors (in %)
Kronos-Reduce leave liability balance,Leaves over accrued (in %),Kronos-Reduce leave liability balance. Leaves over accrued (in %)
Kronos/WFS-Reduce payroll time inflation and gaming,Payroll inflation per employee per day (in hours),Kronos/WFS-Reduce payroll time inflation and gaming. Payroll inflation per employee per day (in hours)
Optimize data storage cost,Data storage cost (% of IT spend),Optimize data storage cost. Data storage cost (% of IT spend)
Improve database administration FTE productivity,Database administration FTEs per billion in revenue,Improve database administration FTE productivity. Database administration FTEs per billion in revenue
Improve analytics FTE productivity,Analytics FTEs per billion in revenue,Improve analytics FTE productivity. Analytics FTEs per billion in revenue
Improve application development FTE productivity,Application development FTEs per billion in revenue,Improve application development FTE productivity. Application development FTEs per billion in revenue
Reduce data security cost,Data security cost (% of IT spend),Reduce data security cost. Data security cost (% of IT spend)
Reduce master data management cost,Master data management cost (% of data management cost),Reduce master data management cost. Master data management cost (% of data management cost)
Reduce data management cost,Data management cost (% of IT spend),Reduce data management cost. Data management cost (% of IT spend)
Reduce document signature error rate,Error rate on paper documentation (in %),Reduce document signature error rate. Error rate on paper documentation (in %)
Reduce document signature cycle time,Document signature cycle time (in mins),Reduce document signature cycle time. Document signature cycle time (in mins)
Reduce document signature hard cost,"Hard cost of printing, distributing, storing contracts/documents","Reduce document signature hard cost. Hard cost of printing, distributing, storing contracts/documents"
Improve external workforce invoice receipt & processing FTE productivity,External workforce invoices per invoice processing FTE,Improve external workforce invoice receipt & processing FTE productivity. External workforce invoices per invoice processing FTE
Increase savings on services categories by managing worker rates,Savings from rate management for services spend (in %),Increase savings on services categories by managing worker rates. Savings from rate management for services spend (in %)
Reduce services cost by tactical bidding,Tactical savings rate for services spend (in %),Reduce services cost by tactical bidding. Tactical savings rate for services spend (in %)
Reduce non-compliant external workforce spend,External workforce spend that is maverick (in %),Reduce non-compliant external workforce spend. External workforce spend that is maverick (in %)
Reduce non-compliant services spend,Services spend that is maverick (in %),Reduce non-compliant services spend. Services spend that is maverick (in %)
Reduce external workforce invoice errors,External workforce invoices NOT automatically / systematically reconciled (in %),Reduce external workforce invoice errors. External workforce invoices NOT automatically / systematically reconciled (in %)
Reduce cost by increasing discount capture on services spend,Services spend eligible for discount (in %),Reduce cost by increasing discount capture on services spend. Services spend eligible for discount (in %)
Improve services procurement invoice receipt & processing FTE productivity,Services invoices per invoice processing FTE,Improve services procurement invoice receipt & processing FTE productivity. Services invoices per invoice processing FTE
Improve services procurement purchase order requisitioning & transmission FTE productivity,Services POs per PO processing FTE,Improve services procurement purchase order requisitioning & transmission FTE productivity. Services POs per PO processing FTE
Reduce services invoice errors,Services invoices NOT automatically / systematically reconciled (in %),Reduce services invoice errors. Services invoices NOT automatically / systematically reconciled (in %)
Reduce cost of assets lost tied to external workers,Assets recovered from external workers at off-boarding (in %),Reduce cost of assets lost tied to external workers. Assets recovered from external workers at off-boarding (in %)
Reduce external workforce cost using tactical bidding,Tactical savings rate for external workforce spend (in %),Reduce external workforce cost using tactical bidding. Tactical savings rate for external workforce spend (in %)
Reduce cost of assets lost tied to services categories,Assets recovered from SOW workers at off-boarding (in %),Reduce cost of assets lost tied to services categories. Assets recovered from SOW workers at off-boarding (in %)
Improve external workforce purchase order requisitioning & transmission FTE productivity,External workforce POs per PO processing FTE,Improve external workforce purchase order requisitioning & transmission FTE productivity. External workforce POs per PO processing FTE
Increase savings by managing external worker rates,Savings from rate management for external workforce spend (in %),Increase savings by managing external worker rates. Savings from rate management for external workforce spend (in %)
Reduce risk associated with external worker classification,New external worker profiles potentially at risk for misclassification (in %),Reduce risk associated with external worker classification. New external worker profiles potentially at risk for misclassification (in %)
Reduce cost by increasing discount capture on external workforce spend,External workforce spend eligible for discount (in %),Reduce cost by increasing discount capture on external workforce spend. External workforce spend eligible for discount (in %)
Reduce cost associated with worker onboarding,Time to full productivity for new external workers (in days),Reduce cost associated with worker onboarding. Time to full productivity for new external workers (in days)
Increase number of SOW based projects meeting goals and objectives,SOW workers not meeting goals/ objectives (in %),Increase number of SOW based projects meeting goals and objectives. SOW workers not meeting goals/ objectives (in %)
Improve control over program budgets,SOW spend NOT completed within budget (in %),Improve control over program budgets. SOW spend NOT completed within budget (in %)
Reduce SOW budgeting & forecasting cost,SOW budgeting & forecasting cost per million of services spend,Reduce SOW budgeting & forecasting cost. SOW budgeting & forecasting cost per million of services spend
Increase number of external workers meeting goals and objectives,Independent contractors and agency workers not meeting goals/ objectives (in %),Increase number of external workers meeting goals and objectives. Independent contractors and agency workers not meeting goals/ objectives (in %)
