Name,Description
Generic asset for Goal Empower for SAP Solution Manager,"<table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""width: 750px;"">
	<tbody>
		<tr>
			<td>Deliverable Name</td>
			<td>Internal Category</td>
			<td>EP-ID</td>
			<td>Description</td>
			<td>Possible Customer Value</td>
			<td>Links</td>
		</tr>
		<tr>
			<td dir=""LTR"">SAP SolMan Value Report (SVR)</td>
			<td dir=""LTR"">Innovation &amp; Value Tool/Report</td>
			<td dir=""LTR"">ZSEVP108</td>
			<td dir=""LTR"">Discover the value of the different functional areas of SAP Solution Manager.&nbsp;</td>
			<td dir=""LTR"">**</td>
			<td dir=""LTR""><a href=""http://www.sap.com/solman-value"">SAP.com page</a></td>
		</tr>
		<tr>
			<td dir=""LTR"">SAP Solution Manager&nbsp;</td>
			<td dir=""LTR"">SAP Support Portal</td>
			<td dir=""LTR"">NA</td>
			<td dir=""LTR"">Find everything about SAP Solution Manager on the SAP Support Portal</td>
			<td dir=""LTR"">***</td>
			<td dir=""LTR""><a href=""https://support.sap.com/en/solution-manager.html"">Support Portal page</a></td>
		</tr>
		<tr>
			<td dir=""LTR"">SAP Solution Manager</td>
			<td dir=""LTR"">SAP Help&nbsp;Portal</td>
			<td dir=""LTR"">NA</td>
			<td dir=""LTR"">Find everything about SAP Solution Manager on the SAP Help Portal</td>
			<td dir=""LTR"">***</td>
			<td dir=""LTR""><a href=""https://help.sap.com/viewer/p/SAP_Solution_Manager"">Help Portal page</a></td>
		</tr>
	</tbody>
</table>"
Generic asset for Goal Enable Innovation Discovery,"<p>&nbsp;</p>

<table>
	<tbody>
		<tr>
			<td>
			<p>Deliverable Name</p>
			</td>
			<td>
			<p>Internal Category</p>
			</td>
			<td>
			<p>EP-ID</p>
			</td>
			<td>
			<p>Description</p>
			</td>
			<td>
			<p>Possible Customer Value</p>
			</td>
			<td>
			<p>Links</p>
			</td>
		</tr>
		<tr>
			<td>SAP Business Scenario Recom. (BSR)</td>
			<td>Innovation or Value Tool/Report</td>
			<td>ZSEVP102</td>
			<td>Through the Business Scenario Recommendations for SAP S/4HANA you receive guidance when starting your journey to SAP S/4HANA.</td>
			<td>**</td>
			<td>
			<p><u><a href=""https://www.s4hana.com/"">Get Started</a></u></p>
			</td>
		</tr>
		<tr>
			<td>
			<p>SAP Fiori Apps Recommendation (FAR)</p>
			</td>
			<td>
			<p>Innovation or Value Tool/Report</p>
			</td>
			<td>
			<p>ZSEVP106</p>
			</td>
			<td>
			<p>Discover which SAP Fiori Apps fit to the transaction usage of your company...</p>
			</td>
			<td>
			<p>**</p>
			</td>
			<td>
			<p><a href=""https://msmproda7afccce3.hana.ondemand.com/Request/FAR/"">Get Started</a></p>
			</td>
		</tr>
		<tr>
			<td>
			<p>SAP SolMan Value Report (SVR)</p>
			</td>
			<td>
			<p>Innovation or Value Tool/Report</p>
			</td>
			<td>
			<p>ZSEVP108</p>
			</td>
			<td>
			<p>Discover the value of the different functional areas of SAP Solution Manager. Take a few minutes to share your selected information and you will receive the foundation for a SAP Solution Manager business case.</p>
			</td>
			<td>
			<p>**</p>
			</td>
			<td>
			<p><a href=""https://msmproda7afccce3.hana.ondemand.com/Request/SOL/"">Get Started</a></p>
			</td>
		</tr>
		<tr>
			<td>
			<p>SAP Support Insights Report (SIR)</p>
			</td>
			<td>
			<p>Innovation or Value Tool/Report</p>
			</td>
			<td>
			<p>ZSEVP110</p>
			</td>
			<td>
			<p>Measure success and value realization with this report of your support scope &amp; usage, and identify additional value opportunities.</p>
			</td>
			<td>
			<p>**</p>
			</td>
			<td>
			<p>Request via <a href=""https://service.sap.com/call1sap"">Support Advisory </a></p>
			</td>
		</tr>
		<tr>
			<td>
			<p>SAP other Value Experience (CVE) reports</p>
			</td>
			<td>
			<p>Innovation or Value Tool/Report</p>
			</td>
			<td>
			<p>ZSEVP112</p>
			</td>
			<td>
			<p>For use when promoting other CVE Tools/reports.</p>
			</td>
			<td>
			<p>**</p>
			</td>
			<td>&nbsp;</td>
		</tr>
		<tr>
			<td>
			<p>Innovation Discovery (BFP)</p>
			</td>
			<td>
			<p>Innovation or Value Tool/Report</p>
			</td>
			<td>
			<p>ZSEVP114</p>
			</td>
			<td>The innovation discovery service for SAP products provides guidance on how to turn the adoption of innovations into tangible value for your business. This free, self-service tool simplifies your search for new functionality SAP has delivered as well as innovations planned for the near future.&nbsp;Innovation Discovery replaced the former Business Functions Prediction tool.</td>
			<td>
			<p>**</p>
			</td>
			<td>
			<p><a href=""https://go.support.sap.com/innovationdiscovery/"">Get Started</a></p>
			</td>
		</tr>
		<tr>
			<td>
			<p>Positioning Other SAP Innov. Tools</p>
			</td>
			<td>
			<p>Positioning Other SAP Innov. Tools</p>
			</td>
			<td>
			<p>ZSEVP116</p>
			</td>
			<td>
			<p>For use when promoting other SAP Innovation Discovery Tools.</p>
			</td>
			<td>
			<p>**</p>
			</td>
			<td>&nbsp;</td>
		</tr>
		<tr>
			<td>
			<p>SAP ES Academy General Accelerated Innovation Enablement page</p>
			</td>
			<td>
			<p>ES Academy (AIE)</p>
			</td>
			<td>
			<p>ZSAC1017</p>
			</td>
			<td>
			<p>SAP&#39;s latest Business Suite provides innovation without disruption through the SAP Enhancement Packages (EHP).&nbsp; SAP Enhancement Packages represent a software delivery strategy that allows customers to get innovations on top of SAP Business Suite without the need to upgrade the current release. For releases of the SAP Business Suite core applications (SAP ERP, SAP CRM, SAP SCM, SAP SRM, SAP PLM), Solution Management, SAP SuccessFactors, SAP Ariba, SAP Workforce Performance Builder, and SAP S/4HANA. AIE&rsquo;s take .25 day from the customers annual contingency days, this and the details on how to request, delivery options, and more can be found on the support portal (link provided).</p>
			</td>
			<td>
			<p>***</p>
			</td>
			<td>
			<p><a href=""https://support.sap.com/en/offerings-programs/enterprise-support/enterprise-support-academy/aie.html"">Support Portal page</a></p>
			</td>
		</tr>
		<tr>
			<td>
			<p>Promote ESAC Program</p>
			</td>
			<td>
			<p>NA</p>
			</td>
			<td>
			<p>NA</p>
			</td>
			<td>
			<p>Promote ESAC Program to customer</p>
			</td>
			<td>
			<p>***</p>
			</td>
			<td>
			<p><a href=""https://support.sap.com/en/offerings-programs/enterprise-support/enterprise-support-advisory-council.html"">ESAC on SAP Support Portal</a></p>
			</td>
		</tr>
	</tbody>
</table>"
Generic asset for Goal Expand SAP Solution Manager,"<p>&nbsp;</p>

<table>
	<tbody>
		<tr>
			<td>
			<p>Deliverable Name</p>
			</td>
			<td>
			<p>Internal Category</p>
			</td>
			<td>
			<p>EP-ID</p>
			</td>
			<td>
			<p>Description</p>
			</td>
			<td>
			<p>Possible Customer Value</p>
			</td>
			<td>
			<p>Links</p>
			</td>
		</tr>
		<tr>
			<td>
			<p>SAP Solution Manager for SAP S/4HANA Implementation in a Nutshell</p>
			</td>
			<td>
			<p>ES Academy (openSAP)</p>
			</td>
			<td>
			<p>ZSAC1017</p>
			</td>
			<td>
			<p>This OpenSAP captures nicely how SM supports SAP S/4HANA projects. SAP Solution Manager is your ideal partner in an SAP S/4HANAimplementation project, with its much-improved user experience and automation of many manual project tasks. It offers a smart end-to-end project delivery platform, which makes the project more transparent, automated, and agile.</p>
			</td>
			<td>
			<p>***</p>
			</td>
			<td>
			<p><a href=""https://open.sap.com/courses/solman1"">Link to </a><a href=""https://open.sap.com/courses/solman1"">openSAP</a><a href=""https://open.sap.com/courses/solman1""> course</a></p>
			</td>
		</tr>
		<tr>
			<td>
			<p>SAP Solution Manager 7.2 Media Center: Introduction</p>
			</td>
			<td>
			<p>NA</p>
			</td>
			<td>
			<p>NA</p>
			</td>
			<td>
			<p>Here you can find demo&rsquo;s or recordings that you can easily consume or show to your audience, as well as various demo materials for key functionalities &amp; features.</p>
			</td>
			<td>
			<p>**</p>
			</td>
			<td>
			<p><a href=""https://wpb101101.hana.ondemand.com/wpb/wa/wa/~tag/published/index.html?show=group!GR_267560D84F4CD84"">SAP </a><a href=""https://wpb101101.hana.ondemand.com/wpb/wa/wa/~tag/published/index.html?show=group!GR_267560D84F4CD84"">Solution</a><a href=""https://wpb101101.hana.ondemand.com/wpb/wa/wa/~tag/published/index.html?show=group!GR_267560D84F4CD84""> Manager 7.2 Media Center: </a><a href=""https://wpb101101.hana.ondemand.com/wpb/wa/wa/~tag/published/index.html?show=group!GR_267560D84F4CD84"">Introduction</a> (link works best on IE, there is potential for SSO warning on Chrome, however the Media Center will open on separate tab)</p>
			</td>
		</tr>
	</tbody>
</table>"
Generic asset for Goal Improve Incident Management Experience,"<p>Description:&nbsp; Gain knowledge of SAP Incident Management processing &amp; best practices to better collaborate with SAP support functions, leading to an improved SAP Incident Management experience.</p>

<table class=""Table"" style=""width:566.6pt; border-collapse:collapse; border:solid black 1.0pt"" width=""755"">
	<tbody>
		<tr style=""height:34.05pt"">
			<td style=""width:141.35pt; border:solid black 1.0pt"" width=""188"">
			<p style=""padding:.55pt .55pt 0cm .55pt""><span style=""height:34.05pt"">Delive</span>rable Name</p>
			</td>
			<td>
			<p>Internal Category</p>
			</td>
			<td>
			<p>Description</p>
			</td>
			<td>
			<p>Possible Customer Value</p>
			</td>
			<td>
			<p>Links</p>
			</td>
		</tr>
		<tr>
			<td>
			<p>SAP Product Support Accreditation Program</p>
			</td>
			<td>
			<p>Training</p>
			</td>
			<td>
			<p>Product Support Accreditation allows customers to become familiar with the accurate ways to interact with Product Support from SAP. By completing the accreditation all customers and partners are enabled and empowered to interact with Product Support in the most efficient way.</p>
			</td>
			<td>
			<p>**</p>
			</td>
			<td>
			<p><a href=""https://customeroutreach-cf-frankfurt-customeroutreach-prod-mta569942c4.cfapps.eu10.hana.ondemand.com/accreditation-1.0.0/index.html"">Link </a><a href=""https://customeroutreach-cf-frankfurt-customeroutreach-prod-mta569942c4.cfapps.eu10.hana.ondemand.com/accreditation-1.0.0/index.html"">to</a><a href=""https://customeroutreach-cf-frankfurt-customeroutreach-prod-mta569942c4.cfapps.eu10.hana.ondemand.com/accreditation-1.0.0/index.html""> </a><a href=""https://customeroutreach-cf-frankfurt-customeroutreach-prod-mta569942c4.cfapps.eu10.hana.ondemand.com/accreditation-1.0.0/index.html"">program</a><a href=""https://customeroutreach-cf-frankfurt-customeroutreach-prod-mta569942c4.cfapps.eu10.hana.ondemand.com/accreditation-1.0.0/index.html""> </a><a href=""https://customeroutreach-cf-frankfurt-customeroutreach-prod-mta569942c4.cfapps.eu10.hana.ondemand.com/accreditation-1.0.0/index.html"">description</a><a href=""https://customeroutreach-cf-frankfurt-customeroutreach-prod-mta569942c4.cfapps.eu10.hana.ondemand.com/accreditation-1.0.0/index.html""> and modules</a></p>
			</td>
		</tr>
	</tbody>
</table>"
Generic asset for Goal Optimize SAP S/4HANA project planning,"<p>Description: Get empowered to design your transformation to SAP S/4HANA with an S/4HANA roadmap, deploy best practices with minimal disruption, optimize hybrid IT landscapes for continuous innovation, and implement SAP S/4HANA as the digital core of your business.</p>

<p>Description for the SAP Enterprise Support Guides Program: Gain transparency and support in choosing the optimal S/4HANA deployment options and the transition path connected; Optimize your project planning in your S/4HANA transformation</p>

<table border=""1"" cellpadding=""1"" cellspacing=""1"" style=""width: 1000px;"">
	<thead>
		<tr>
			<th scope=""col""><b>Deliverable Name</b></th>
			<th scope=""col""><b>Internal Category</b></th>
			<th scope=""col""><b>EP-ID</b></th>
			<th scope=""col"">
			<p>Description</p>
			</th>
			<th scope=""col""><b>Possible Cust. Val.</b></th>
			<th scope=""col""><b>Links</b></th>
		</tr>
	</thead>
	<tbody>
		<tr>
			<td>SAP S/4HANA Adoption Starter program</td>
			<td>SAP&nbsp;Support Portal</td>
			<td>N/A</td>
			<td>SAP S/4HANA Adoption Starter Engagement can help, especially if you are in an early stage of your SAP S/4HANA journey. Through this engagement, you can obtain your personalized digital transformation plan 1.0 specifically tailored to your business needs within 90 days. The SAP S/4HANA Adoption Starter Engagement is available to all customers with a valid support agreement without any additional fee.</td>
			<td>***</td>
			<td><a href=""https://jam4.sapjam.com/groups/M7SoNn1qwTvi6Fs9q5rRt1/overview_page/LFTUGg2MgmPnectK56zJoS"">Internal Link </a>and <a href=""https://support.sap.com/en/tools/upgrade-transformation-tools/s4hana-adoption-starter.html"">External Link</a></td>
		</tr>
		<tr>
			<td>Discover S/4HANA</td>
			<td>SAP&nbsp;Support Portal</td>
			<td>N/A</td>
			<td>Learn how to design your transformation roadmap, deploy &nbsp;best practices with minimal disruption, optimize hybrid IT landscapes for continuous innovation, and implement SAP S/4HANA as the digital core of your business.</td>
			<td>***</td>
			<td><a href=""https://support.sap.com/en/release-upgrade-maintenance/value-support/quick-values-s4hana-discovery.html"">Support Portal&nbsp;&nbsp;page</a></td>
		</tr>
		<tr>
			<td>Mapping Your Journey to SAP S/4HANA:&nbsp; A Practical Guide for Senior IT Leadership</td>
			<td>SAP.com Guide</td>
			<td>N/A</td>
			<td>Get the expert guidance you need to successfully plan your migration to SAP S/4HANA. Access this practical, condensed, down-to-earth handbook for executives, project managers, decision-makers, and senior IT leaders that summarizes our combined experience from over 5,000 SAP S/4HANA migration projects we&rsquo;ve seen so far.</td>
			<td>***</td>
			<td><a href=""https://www.sap.com/documents/2019/05/44b3ebd5-4b7d-0010-87a3-c30de2ffd8ff.html"">SAP.com page</a></td>
		</tr>
		<tr>
			<td>Positioning Other SAP Innov. Tools (Transformation Navigator)</td>
			<td>Positioning Other SAP Innov. Tools</td>
			<td>ZSEVP116</td>
			<td>Learn how to create your own product map, build your own business case, and plan your own digital transformation journey.</td>
			<td>***</td>
			<td><a href=""http://www.sap.com/transformationnavigator"">http://www.sap.com/transformationnavigator</a></td>
		</tr>
		<tr>
			<td>SAP Business Scenario Recom. (BSR)&nbsp;</td>
			<td>Innovation or Value Tool/Report</td>
			<td>ZSEVP102</td>
			<td>Learn how to create a business case based on your own system data with a Business Scenario Recommendation (BSR) report for SAP S/4HANA.</td>
			<td>***</td>
			<td><a href=""https://www.s4hana.com/"">https://www.s4hana.com/</a></td>
		</tr>
	</tbody>
</table>

<p>&nbsp;</p>"
Generic asset for Goal Optimize System Stability/Behavior,"<table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""830"">
	<tbody>
		<tr height=""61"">
			<td height=""61"" width=""201"">Deliverable Name</td>
			<td width=""81"">Internal Category</td>
			<td width=""294"">Description</td>
			<td width=""69"">Possible Customer Value</td>
			<td width=""185"">Links</td>
		</tr>
		<tr height=""140"">
			<td dir=""LTR"" height=""140"" width=""201"">SAP Fiori for SAP Solution Manager:&nbsp; My EarlyWatch Alert Reports&nbsp;</td>
			<td dir=""LTR"" width=""81"">SAP Help Portal</td>
			<td dir=""LTR"" width=""294"">Learn about &amp; setup the transactional app My SAP EarlyWatch Alert Reports, to get an overview on the status of all critical systems in your system landscape. You can easily monitor the alerts and find out how to improve the system stability, performance or security.</td>
			<td dir=""LTR"" width=""69"">*</td>
			<td dir=""LTR"" width=""185"">SAP Help Portal</td>
		</tr>
		<tr height=""160"">
			<td dir=""LTR"" height=""160"" width=""201"">SAP Solution Manager System Recommendations</td>
			<td dir=""LTR"" width=""81"">SAP Support Portal</td>
			<td dir=""LTR"" width=""294"">Get Tailored Automated Recommendations for SAP Notes via SAP Solution Manager System Recommendations, it provides a detailed recommendation of ABAP and non-ABAP SAP Notes which should be implemented, based on the actual status of the system and already implemented SAP Notes.</td>
			<td dir=""LTR"" width=""69"">*</td>
			<td dir=""LTR"" width=""185"">&nbsp;SAP Support Portal</td>
		</tr>
		<tr height=""240"">
			<td dir=""LTR"" height=""240"" width=""201"">SAP Solution Manager 7.2 Media Center: Application Operations</td>
			<td dir=""LTR"" width=""81"">NA</td>
			<td dir=""LTR"" width=""294"">Application Operations represents all capabilities for monitoring, alerting, analysis, and administration of SAP solutions, and allows customers to reduce TCO by predefined content and centralized tools for all aspects of SAP Solution Manager operations. It provides end-to-end reporting functionality either out-of-the-box, or individually created by customers</td>
			<td dir=""LTR"" width=""69"">*</td>
			<td dir=""LTR"" width=""185""><a href=""https://wpb101101.hana.ondemand.com/wpb/wa/wa/~tag/published/index.html?show=group!GR_267560D84F4CD84"">SAP Solution Manager Application Operations on Media Center (link works best on IE, there is potential for SSO warning on Chrome, however the Media Center will open on separate tab)</a></td>
		</tr>
		<tr height=""240"">
			<td dir=""LTR"" height=""240"" width=""201"">SAP Solution Manager 7.2 Media Center: Cross Topics</td>
			<td dir=""LTR"" width=""81"">NA</td>
			<td dir=""LTR"" width=""294"">Here you find information about cross topics in SAP Solution Manager such as Content Activation, SAP Solution Manager Setup, SAP Engagement and Service Delivery, Analytics and more.</td>
			<td dir=""LTR"" width=""69"">*</td>
			<td dir=""LTR"" width=""185""><a href=""https://wpb101101.hana.ondemand.com/wpb/wa/wa/~tag/published/index.html?show=group!GR_267560D84F4CD84"">SAP Solution Manager Cross Topics on Media Center (link works best on IE, there is potential for SSO warning on Chrome, however the Media Center will open on separate tab)</a></td>
		</tr>
	</tbody>
</table>"
Generic asset for SAP Cloud Platform Release Information & Strategy,"<p>&nbsp;</p>

<table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""1074"">
	<tbody>
		<tr height=""56"">
			<td height=""56"" width=""153"">
			<p>Deliverable Name (Touchpoint)</p>
			</td>
			<td width=""123"">
			<p>Internal Category</p>
			</td>
			<td width=""381"">
			<p>Description</p>
			</td>
			<td width=""84"">
			<p>Possible Customer Value</p>
			</td>
			<td width=""334"">
			<p>Links</p>
			</td>
		</tr>
		<tr height=""56"">
			<td height=""56"" width=""153"">
			<p>SAP Cloud Platform Roadmaps</p>
			</td>
			<td width=""123"">
			<p>SAP Portal</p>
			</td>
			<td width=""381"">
			<p>Information about the upcoming release</p>
			</td>
			<td width=""84"">
			<p>***</p>
			</td>
			<td width=""334"">
			<p><u><a href=""https://www.sap.com/products/roadmaps/finder-all.html?sort=title_asc&amp;search=SAP%20Cloud%20Platform"">SAP Cloud Platform </a></u><a href=""https://www.sap.com/products/roadmaps/finder-all.html?sort=title_asc&amp;search=SAP%20Cloud%20Platform"">&nbsp;Roadmaps</a></p>
			</td>
		</tr>
		<tr height=""49"">
			<td height=""49"" width=""153"">
			<p>SAP Customer Experience Wiki</p>
			</td>
			<td width=""123"">
			<p>SAP Help Portal</p>
			</td>
			<td width=""381"">
			<p>Information about SAP Commerce Cloud Release Strategy and Roadmap</p>
			</td>
			<td width=""84"">
			<p>***</p>
			</td>
			<td width=""334"">
			<p><a href=""https://help.sap.com/viewer/65de2977205c403bbc107264b8eccf4b/Cloud/en-US/99070c7bfc0e4f41842bd7c648b7fca7.html"">SAP Cloud Platform Release Notes</a></p>
			</td>
		</tr>
		<tr height=""49"">
			<td height=""49"" width=""153"">
			<p>SAP Cloud Platform integration software update</p>
			</td>
			<td width=""123"">
			<p>SAP Help Portal</p>
			</td>
			<td width=""381"">
			<p>Information about Cloud Integration software</p>
			</td>
			<td width=""84"">
			<p>***</p>
			</td>
			<td width=""334"">
			<p><u><a href=""https://help.sap.com/viewer/368c481cd6954bdfa5d0435479fd4eaf/Cloud/en-US/06474e8ede674f2094bfe6250fe1afa1.html"">SAP Cloud Platform integration software update</a></u></p>
			</td>
		</tr>
		<tr height=""49"">
			<td height=""49"" width=""153"">
			<p>What&#39;s new for Cloud Integration</p>

			<p>&nbsp;</p>
			</td>
			<td width=""123"">
			<p>SAP Help Portal</p>
			</td>
			<td width=""381"">
			<p>Cloud Integration - Upgrades</p>
			</td>
			<td width=""84"">
			<p>**</p>
			</td>
			<td width=""334"">
			<p><u><a href=""https://help.sap.com/viewer/368c481cd6954bdfa5d0435479fd4eaf/Cloud/en-US/72ef31d2739a4b079f0d297ffa684ec8.html"">What&#39;s new for Cloud Integration</a></u></p>

			<p>&nbsp;</p>
			</td>
		</tr>
	</tbody>
</table>"
Generic asset for SAP Commerce Customer Lifecycle: Utilize - assets,"<p>Get maximum value from the cloud solution and adopt new features.</p>

<p>Suggested Assets for the ESCE Success Plan for Utilize phase:</p>

<table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""1045"">
	<tbody>
		<tr height=""56"">
			<td height=""56"" width=""141"">
			<p>Deliverable Name (Touchpoint)</p>
			</td>
			<td width=""107"">
			<p>Internal Category</p>
			</td>
			<td width=""422"">
			<p>Description</p>
			</td>
			<td width=""94"">
			<p>Possible Customer Value</p>
			</td>
			<td width=""280"">
			<p>Links</p>
			</td>
		</tr>
		<tr height=""40"">
			<td height=""40"" width=""141"">
			<p>Catalog Synchronization</p>
			</td>
			<td width=""107"">
			<p>Best Practice</p>
			</td>
			<td width=""422"">
			<p>Best Practice to avoid performance problems during the catalogue synchronization</p>
			</td>
			<td width=""94"">
			<p>*</p>
			</td>
			<td width=""280"">
			<p><u><a href=""https://www.sap.com/cxworks/article/432582396/Catalog_Synchronization"">Catalog Synchronization</a></u></p>

			<p>&nbsp;</p>
			</td>
		</tr>
		<tr height=""71"">
			<td height=""71"" width=""141"">
			<p>Data Protection in SAP Commerce Cloud</p>
			</td>
			<td width=""107"">
			<p>Guide</p>
			</td>
			<td width=""422"">
			<p>&nbsp;Addresses the data protection requirements, outlines what is necessary for the solution to be compliant with the requirements of the regions you operate in. Covers potential data protection topics and how to implement them.</p>
			</td>
			<td width=""94"">
			<p>**</p>
			</td>
			<td width=""280"">
			<p>&nbsp;<u><a href=""https://www.sap.com/cxworks/article/432570878/Data_Protection_in_SAP_Commerce_Cloud"">Data Protection in SAP Commerce Cloud</a></u></p>

			<p>&nbsp;</p>
			</td>
		</tr>
		<tr height=""45"">
			<td height=""45"" width=""141"">
			<p>User Management</p>
			</td>
			<td width=""107"">
			<p>Guide</p>
			</td>
			<td width=""422"">
			<p>This guide has collected some recommended practices for the setup of users and permissions.</p>
			</td>
			<td width=""94"">
			<p>***</p>
			</td>
			<td width=""280"">
			<p><u><a href=""https://www.sap.com/cxworks/article/441185927/User_Management"">User Management</a></u></p>

			<p>&nbsp;</p>
			</td>
		</tr>
	</tbody>
</table>"
Generic asset for SAP Commerce LoB Go Live Support assets,"<p>Ensure the Go Live readiness and safeguard the implementation of the Cloud Solution.</p>

<p>Suggested Assets for the ESCE Success Plan for Go Live:</p>

<table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""1071"">
	<tbody>
		<tr height=""57"">
			<td height=""57"" width=""142"">
			<p>Deliverable Name (Touchpoint)</p>
			</td>
			<td width=""138"">
			<p>Internal Category</p>
			</td>
			<td width=""480"">
			<p>Description</p>
			</td>
			<td width=""79"">
			<p>Possible Customer Value</p>
			</td>
			<td width=""233"">
			<p>Links</p>
			</td>
		</tr>
		<tr height=""45"">
			<td height=""45"" width=""142"">
			<p>Commerce Cloud Project Framework</p>
			</td>
			<td width=""138"">
			<p>Best Practices/Framework</p>
			</td>
			<td width=""480"">
			<p>The framework supports&nbsp; commerce cloud projects, helping to achieve high time-to-value, value realization, and agility standards</p>
			</td>
			<td width=""79"">
			<p>***</p>
			</td>
			<td width=""233"">
			<p><u><a href=""https://www.sap.com/cxworks/article/432579544/Project_Delivery_Framework_for_SAP_Commerce_Cloud"">Commerce Cloud Project Framework</a></u></p>

			<p>&nbsp;</p>
			</td>
		</tr>
		<tr height=""69"">
			<td height=""69"" width=""142"">
			<p>Integration Options for SAP Commerce Cloud</p>
			</td>
			<td width=""138"">
			<p>Guide</p>
			</td>
			<td width=""480"">
			<p>Provides information about the guidance about the integration types such as payment, shipping, reviews or even connecting to other SAP C/4HANA solutions like SAP Marketing Cloud or SAP Sales Cloud.</p>
			</td>
			<td width=""79"">
			<p>**</p>
			</td>
			<td width=""233"">
			<p><u><a href=""https://www.sap.com/cxworks/article/439955625/Integration_Options_for_SAP_Commerce_Cloud"">Integration Options for SAP Commerce Cloud</a></u></p>
			</td>
		</tr>
	</tbody>
</table>"
Generic asset for SAP Commerce Release Information & Strategy,"<p>Get information about the Cloud Product Roadmap, Product Release Cycle and Strategy.<br />
Get empowered to create their release and test strategy.</p>

<p>Default ETPs/Deliverables</p>

<table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""1096"">
	<tbody>
		<tr height=""56"">
			<td height=""56"" width=""119"">
			<p>Deliverable Name (Touchpoint)</p>
			</td>
			<td width=""94"">
			<p>Internal Category</p>
			</td>
			<td width=""392"">
			<p>Description</p>
			</td>
			<td width=""82"">
			<p>Possible Customer Value</p>
			</td>
			<td width=""408"">
			<p>Links</p>
			</td>
		</tr>
		<tr height=""56"">
			<td height=""56"" width=""119"">
			<p>SAP Commerce Cloud Roadmap</p>
			</td>
			<td width=""94"">
			<p>SAP portal</p>
			</td>
			<td width=""392"">
			<p>Information about the upcoming release</p>
			</td>
			<td width=""82"">
			<p>***</p>
			</td>
			<td width=""408"">
			<p><u><a href=""https://www.sap.com/products/roadmaps.html"">Commerce Cloud</a></u> Roadmap</p>
			</td>
		</tr>
		<tr height=""49"">
			<td height=""49"" width=""119"">
			<p>SAP Customer Experience Wiki</p>
			</td>
			<td width=""94"">
			<p>SAP CX Wiki</p>
			</td>
			<td width=""392"">
			<p>Information about SAP Commerce Cloud Release Strategy and Roadmap</p>
			</td>
			<td width=""82"">
			<p>***</p>
			</td>
			<td width=""408"">
			<p><a href=""https://wiki.hybris.com/pages/viewpage.action?spaceKey=general&amp;title=Roadmap"">SAP Commerce Cloud Release Strategy and Roadmap (SAP Customer Experience Wiki)</a></p>
			</td>
		</tr>
		<tr height=""49"">
			<td height=""49"" width=""119"">
			<p>Release Webinars</p>
			</td>
			<td width=""94"">
			<p>SAP CX enablement Portal</p>
			</td>
			<td width=""392"">
			<p>Information about release Webinars</p>
			</td>
			<td width=""82"">
			<p>***</p>
			</td>
			<td width=""408"">
			<p><a href=""https://enable.cx.sap.com/channel/Commerce+Release/89743541"">Release Webinars </a></p>
			</td>
		</tr>
		<tr height=""49"">
			<td height=""49"" width=""119"">
			<p>SAP Commerce Cloud release Center</p>

			<p>&nbsp;</p>
			</td>
			<td width=""94"">
			<p>SAP CX Wiki</p>
			</td>
			<td width=""392"">
			<p>Release Information</p>
			</td>
			<td width=""82"">
			<p>***</p>
			</td>
			<td width=""408"">
			<p><u><a href=""https://wiki.hybris.com/display/ycommerce"">SAP Commerce Release Center (SAP Customer Experience Wiki)</a></u></p>

			<p>&nbsp;</p>
			</td>
		</tr>
	</tbody>
</table>"
Generic asset for SAP ES Academy search assets and resources,
